0,1,92
1,2,49
1,5,61
2,3,110
2,4,104
2,5,98
3,4,32
3,8,170
4,5,95
4,7,33
4,8,152
5,6,87
5,7,71
5,9,180
6,9,139
6,12,163
6,13,176
7,8,133
7,9,210
7,10,205
8,11,116
9,10,26
9,13,89
9,14,30
10,11,69
10,14,36
10,15,152
11,16,144
11,17,175
12,13,41
12,18,116
13,14,79
13,18,108
13,19,114
14,15,121
14,19,152
14,20,179
15,16,65
15,20,59
16,17,98
16,20,103
16,21,90
17,21,129
17,22,121
18,19,58
18,23,68
19,20,58
19,23,70
19,24,68
20,21,64
20,24,44
20,28,122
20,29,98
21,22,75
21,25,54
21,29,97
22,25,36
23,24,56
23,26,72
24,27,58
24,28,88
25,29,87
25,30,71
26,27,55
26,31,100
27,28,37
28,29,46
28,31,88
28,34,49
28,37,120
29,30,65
29,32,60
29,36,140
29,37,156
30,32,38
30,33,48
31,34,41
31,40,40
32,33,55
32,35,56
32,36,104
34,37,72
34,38,85
35,36,52
36,37,34
37,38,28
38,39,15
38,40,25
39,41,21
40,41,35
40,42,62
41,42,46
42,43,25
42,45,41
42,47,31
43,44,21
43,45,26
44,45,10
45,46,16
45,47,40
46,47,25
46,48,31
