0,95,30
1,166,88
2,117,91
3,100,200
4,131,194
5,205,135
6,281,93
7,164,193
8,230,309
9,374,196
10,367,221
11,344,286
12,443,106
13,448,147
14,401,210
15,518,239
16,488,297
17,481,395
18,555,135
19,552,193
20,577,245
21,577,309
22,601,380
23,616,165
24,614,221
25,616,347
26,688,165
27,672,218
28,699,243
29,669,278
30,687,340
31,779,207
32,716,315
33,725,369
34,747,233
35,771,305
36,809,269
37,819,237
38,829,211
39,843,207
40,815,190
41,850,187
42,853,141
43,874,155
44,894,149
45,894,139
46,884,127
47,864,112
48,904,103
